Box      30.000      10.000      20.000
< Point NoPoints       1088>
< id domain_id area X Y Z Nx Ny Nz P1x P1y P1z P2x P2y P2z C1 C2  >
< Outer >
         0    1     0.344     0.000     0.000    12.000   0.121  -0.000  -0.993   0.993   0.000   0.121   0.000   1.000   0.000   0.000 -27.861
         1    0     0.344     0.000     0.588    12.000   0.121  -0.000  -0.993   0.993   0.000   0.121   0.000   1.000   0.000   0.000 -27.861
         2    1     0.344     0.000     1.176    12.000   0.121  -0.000  -0.993   0.993   0.000   0.121   0.000   1.000   0.000   0.000 -27.861
         3    0     0.344     0.000     1.765    12.000   0.121  -0.000  -0.993   0.993   0.000   0.121   0.000   1.000   0.000   0.000 -27.861
         4    1     0.344     0.000     2.353    12.000   0.121  -0.000  -0.993   0.993   0.000   0.121   0.000   1.000   0.000   0.000 -27.861
         5    0     0.344     0.000     2.941    12.000   0.121  -0.000  -0.993   0.993   0.000   0.121   0.000   1.000   0.000   0.000 -27.861
         6    1     0.344     0.000     3.529    12.000   0.121  -0.000  -0.993   0.993   0.000   0.121   0.000   1.000   0.000   0.000 -27.861
         7    1     0.344     0.000     4.118    12.000   0.121  -0.000  -0.993   0.993   0.000   0.121   0.000   1.000   0.000   0.000 -27.861
         8    0     0.344     0.000     4.706    12.000   0.121  -0.000  -0.993   0.993   0.000   0.121   0.000   1.000   0.000   0.000 -27.861
         9    1     0.344     0.000     5.294    12.000   0.121  -0.000  -0.993   0.993   0.000   0.121   0.000   1.000   0.000   0.000 -27.861
        10    1     0.344     0.000     5.882    12.000   0.121  -0.000  -0.993   0.993   0.000   0.121   0.000   1.000   0.000   0.000 -27.861
        11    1     0.344     0.000     6.471    12.000   0.121  -0.000  -0.993   0.993   0.000   0.121   0.000   1.000   0.000   0.000 -27.861
        12    1     0.344     0.000     7.059    12.000   0.121  -0.000  -0.993   0.993   0.000   0.121   0.000   1.000   0.000   0.000 -27.861
        13    1     0.344     0.000     7.647    12.000   0.121  -0.000  -0.993   0.993   0.000   0.121   0.000   1.000   0.000   0.000 -27.861
        14    0     0.344     0.000     8.235    12.000   0.121  -0.000  -0.993   0.993   0.000   0.121   0.000   1.000   0.000   0.000 -27.861
        15    1     0.344     0.000     8.824    12.000   0.121  -0.000  -0.993   0.993   0.000   0.121   0.000   1.000   0.000   0.000 -27.861
